title,author,price,publisher,isbn,contributor,date,rank,rank_last_week,weeks_on_list
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-04-04,11,7,5
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-04-04,12,0,11
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-04-04,13,11,4
SHADOWS REEL,C.J. Box,0.00,Putnam,0593331265,by C.J. Box,2022-04-04,14,6,3
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-04-04,15,14,19
THE MATCH,Harlan Coben,0.00,Grand Central,1538748339,by Harlan Coben,2022-04-03,1,0,1
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-04-03,2,1,2
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-04-03,3,3,40
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-04-03,4,5,15
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-04-03,5,7,38
SHADOWS REEL,C.J. Box,0.00,Putnam,0593331265,by C.J. Box,2022-04-03,6,2,2
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-04-03,7,6,4
THE MAID,Nita Prose,0.00,Ballantine,0593356160,by Nita Prose,2022-04-03,8,15,11
GIVE UNTO OTHERS,Donna Leon,0.00,Atlantic Monthly,None,by Donna Leon,2022-04-03,9,0,1
THE KAIJU PRESERVATION SOCIETY,John Scalzi,0.00,Tor,0765389134,by John Scalzi,2022-04-03,10,0,1
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-04-03,11,0,3
THE LIGHTNING ROD,Brad Meltzer,0.00,Morrow,0062892401,by Brad Meltzer,2022-04-03,12,9,2
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-04-03,13,0,152
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-04-03,14,11,18
ONE ITALIAN SUMMER,Rebecca Serle,0.00,Atria,1982166797,by Rebecca Serle,2022-04-03,15,10,3
THE MATCH,Harlan Coben,0.00,Grand Central,1538748339,by Harlan Coben,2022-04-02,1,0,1
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-04-02,2,1,2
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-04-02,3,3,40
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-04-02,4,5,15
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-04-02,5,7,38
SHADOWS REEL,C.J. Box,0.00,Putnam,0593331265,by C.J. Box,2022-04-02,6,2,2
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-04-02,7,6,4
THE MAID,Nita Prose,0.00,Ballantine,0593356160,by Nita Prose,2022-04-02,8,15,11
GIVE UNTO OTHERS,Donna Leon,0.00,Atlantic Monthly,None,by Donna Leon,2022-04-02,9,0,1
THE KAIJU PRESERVATION SOCIETY,John Scalzi,0.00,Tor,0765389134,by John Scalzi,2022-04-02,10,0,1
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-04-02,11,0,3
THE LIGHTNING ROD,Brad Meltzer,0.00,Morrow,0062892401,by Brad Meltzer,2022-04-02,12,9,2
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-04-02,13,0,152
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-04-02,14,11,18
ONE ITALIAN SUMMER,Rebecca Serle,0.00,Atria,1982166797,by Rebecca Serle,2022-04-02,15,10,3
THE MATCH,Harlan Coben,0.00,Grand Central,1538748339,by Harlan Coben,2022-04-01,1,0,1
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-04-01,2,1,2
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-04-01,3,3,40
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-04-01,4,5,15
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-04-01,5,7,38
SHADOWS REEL,C.J. Box,0.00,Putnam,0593331265,by C.J. Box,2022-04-01,6,2,2
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-04-01,7,6,4
THE MAID,Nita Prose,0.00,Ballantine,0593356160,by Nita Prose,2022-04-01,8,15,11
GIVE UNTO OTHERS,Donna Leon,0.00,Atlantic Monthly,None,by Donna Leon,2022-04-01,9,0,1
THE KAIJU PRESERVATION SOCIETY,John Scalzi,0.00,Tor,0765389134,by John Scalzi,2022-04-01,10,0,1
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-04-01,11,0,3
THE LIGHTNING ROD,Brad Meltzer,0.00,Morrow,0062892401,by Brad Meltzer,2022-04-01,12,9,2
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-04-01,13,0,152
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-04-01,14,11,18
ONE ITALIAN SUMMER,Rebecca Serle,0.00,Atria,1982166797,by Rebecca Serle,2022-04-01,15,10,3
THE MATCH,Harlan Coben,0.00,Grand Central,1538748339,by Harlan Coben,2022-03-31,1,0,1
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-03-31,2,1,2
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-31,3,3,40
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-31,4,5,15
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-31,5,7,38
SHADOWS REEL,C.J. Box,0.00,Putnam,0593331265,by C.J. Box,2022-03-31,6,2,2
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-03-31,7,6,4
THE MAID,Nita Prose,0.00,Ballantine,0593356160,by Nita Prose,2022-03-31,8,15,11
GIVE UNTO OTHERS,Donna Leon,0.00,Atlantic Monthly,None,by Donna Leon,2022-03-31,9,0,1
THE KAIJU PRESERVATION SOCIETY,John Scalzi,0.00,Tor,0765389134,by John Scalzi,2022-03-31,10,0,1
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-03-31,11,0,3
THE LIGHTNING ROD,Brad Meltzer,0.00,Morrow,0062892401,by Brad Meltzer,2022-03-31,12,9,2
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-03-31,13,0,152
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-31,14,11,18
ONE ITALIAN SUMMER,Rebecca Serle,0.00,Atria,1982166797,by Rebecca Serle,2022-03-31,15,10,3
THE MATCH,Harlan Coben,0.00,Grand Central,1538748339,by Harlan Coben,2022-03-30,1,0,1
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-03-30,2,1,2
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-30,3,3,40
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-30,4,5,15
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-30,5,7,38
SHADOWS REEL,C.J. Box,0.00,Putnam,0593331265,by C.J. Box,2022-03-30,6,2,2
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-03-30,7,6,4
THE MAID,Nita Prose,0.00,Ballantine,0593356160,by Nita Prose,2022-03-30,8,15,11
GIVE UNTO OTHERS,Donna Leon,0.00,Atlantic Monthly,None,by Donna Leon,2022-03-30,9,0,1
THE KAIJU PRESERVATION SOCIETY,John Scalzi,0.00,Tor,0765389134,by John Scalzi,2022-03-30,10,0,1
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-03-30,11,0,3
THE LIGHTNING ROD,Brad Meltzer,0.00,Morrow,0062892401,by Brad Meltzer,2022-03-30,12,9,2
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-03-30,13,0,152
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-30,14,11,18
ONE ITALIAN SUMMER,Rebecca Serle,0.00,Atria,1982166797,by Rebecca Serle,2022-03-30,15,10,3
THE MATCH,Harlan Coben,0.00,Grand Central,1538748339,by Harlan Coben,2022-03-29,1,0,1
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-03-29,2,1,2
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-29,3,3,40
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-29,4,5,15
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-29,5,7,38
SHADOWS REEL,C.J. Box,0.00,Putnam,0593331265,by C.J. Box,2022-03-29,6,2,2
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-03-29,7,6,4
THE MAID,Nita Prose,0.00,Ballantine,0593356160,by Nita Prose,2022-03-29,8,15,11
GIVE UNTO OTHERS,Donna Leon,0.00,Atlantic Monthly,None,by Donna Leon,2022-03-29,9,0,1
THE KAIJU PRESERVATION SOCIETY,John Scalzi,0.00,Tor,0765389134,by John Scalzi,2022-03-29,10,0,1
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-03-29,11,0,3
THE LIGHTNING ROD,Brad Meltzer,0.00,Morrow,0062892401,by Brad Meltzer,2022-03-29,12,9,2
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-03-29,13,0,152
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-29,14,11,18
ONE ITALIAN SUMMER,Rebecca Serle,0.00,Atria,1982166797,by Rebecca Serle,2022-03-29,15,10,3
THE MATCH,Harlan Coben,0.00,Grand Central,1538748339,by Harlan Coben,2022-03-28,1,0,1
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-03-28,2,1,2
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-28,3,3,40
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-28,4,5,15
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-28,5,7,38
SHADOWS REEL,C.J. Box,0.00,Putnam,0593331265,by C.J. Box,2022-03-28,6,2,2
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-03-28,7,6,4
THE MAID,Nita Prose,0.00,Ballantine,0593356160,by Nita Prose,2022-03-28,8,15,11
GIVE UNTO OTHERS,Donna Leon,0.00,Atlantic Monthly,None,by Donna Leon,2022-03-28,9,0,1
THE KAIJU PRESERVATION SOCIETY,John Scalzi,0.00,Tor,0765389134,by John Scalzi,2022-03-28,10,0,1
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-03-28,11,0,3
THE LIGHTNING ROD,Brad Meltzer,0.00,Morrow,0062892401,by Brad Meltzer,2022-03-28,12,9,2
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-03-28,13,0,152
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-28,14,11,18
ONE ITALIAN SUMMER,Rebecca Serle,0.00,Atria,1982166797,by Rebecca Serle,2022-03-28,15,10,3
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-03-27,1,0,1
SHADOWS REEL,C.J. Box,0.00,Putnam,0593331273,by C.J. Box,2022-03-27,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-27,3,2,39
HIGH STAKES,Danielle Steel,0.00,Delacorte,1984821717,by Danielle Steel,2022-03-27,4,0,1
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-27,5,4,14
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-03-27,6,3,3
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-27,7,5,37
THE GOLDEN COUPLE,Greer Hendricks and Sarah Pekkanen,0.00,St. Martin's,125027320X,by Greer Hendricks and Sarah Pekkanen,2022-03-27,8,0,1
THE LIGHTNING ROD,Brad Meltzer,0.00,Morrow,0062892428,by Brad Meltzer,2022-03-27,9,0,1
ONE ITALIAN SUMMER,Rebecca Serle,0.00,Atria,1982166797,by Rebecca Serle,2022-03-27,10,8,2
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-27,11,10,17
PEOPLE WE MEET ON VACATION,Emily Henry,0.00,Berkley,1984806750,by Emily Henry,2022-03-27,12,0,23
THE MIDNIGHT LIBRARY,Matt Haig,0.00,Viking,0525559477,by Matt Haig,2022-03-27,13,0,57
THE LINCOLN HIGHWAY,Amor Towles,0.00,Viking,0735222371,by Amor Towles,2022-03-27,14,13,23
THE MAID,Nita Prose,0.00,Ballantine,0593356160,by Nita Prose,2022-03-27,15,12,10
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-03-26,1,0,1
SHADOWS REEL,C.J. Box,0.00,Putnam,0593331273,by C.J. Box,2022-03-26,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-26,3,2,39
HIGH STAKES,Danielle Steel,0.00,Delacorte,1984821717,by Danielle Steel,2022-03-26,4,0,1
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-26,5,4,14
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-03-26,6,3,3
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-26,7,5,37
THE GOLDEN COUPLE,Greer Hendricks and Sarah Pekkanen,0.00,St. Martin's,125027320X,by Greer Hendricks and Sarah Pekkanen,2022-03-26,8,0,1
THE LIGHTNING ROD,Brad Meltzer,0.00,Morrow,0062892428,by Brad Meltzer,2022-03-26,9,0,1
ONE ITALIAN SUMMER,Rebecca Serle,0.00,Atria,1982166797,by Rebecca Serle,2022-03-26,10,8,2
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-26,11,10,17
PEOPLE WE MEET ON VACATION,Emily Henry,0.00,Berkley,1984806750,by Emily Henry,2022-03-26,12,0,23
THE MIDNIGHT LIBRARY,Matt Haig,0.00,Viking,0525559477,by Matt Haig,2022-03-26,13,0,57
THE LINCOLN HIGHWAY,Amor Towles,0.00,Viking,0735222371,by Amor Towles,2022-03-26,14,13,23
THE MAID,Nita Prose,0.00,Ballantine,0593356160,by Nita Prose,2022-03-26,15,12,10
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-03-25,1,0,1
SHADOWS REEL,C.J. Box,0.00,Putnam,0593331273,by C.J. Box,2022-03-25,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-25,3,2,39
HIGH STAKES,Danielle Steel,0.00,Delacorte,1984821717,by Danielle Steel,2022-03-25,4,0,1
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-25,5,4,14
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-03-25,6,3,3
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-25,7,5,37
THE GOLDEN COUPLE,Greer Hendricks and Sarah Pekkanen,0.00,St. Martin's,125027320X,by Greer Hendricks and Sarah Pekkanen,2022-03-25,8,0,1
THE LIGHTNING ROD,Brad Meltzer,0.00,Morrow,0062892428,by Brad Meltzer,2022-03-25,9,0,1
ONE ITALIAN SUMMER,Rebecca Serle,0.00,Atria,1982166797,by Rebecca Serle,2022-03-25,10,8,2
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-25,11,10,17
PEOPLE WE MEET ON VACATION,Emily Henry,0.00,Berkley,1984806750,by Emily Henry,2022-03-25,12,0,23
THE MIDNIGHT LIBRARY,Matt Haig,0.00,Viking,0525559477,by Matt Haig,2022-03-25,13,0,57
THE LINCOLN HIGHWAY,Amor Towles,0.00,Viking,0735222371,by Amor Towles,2022-03-25,14,13,23
THE MAID,Nita Prose,0.00,Ballantine,0593356160,by Nita Prose,2022-03-25,15,12,10
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-03-24,1,0,1
SHADOWS REEL,C.J. Box,0.00,Putnam,0593331273,by C.J. Box,2022-03-24,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-24,3,2,39
HIGH STAKES,Danielle Steel,0.00,Delacorte,1984821717,by Danielle Steel,2022-03-24,4,0,1
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-24,5,4,14
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-03-24,6,3,3
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-24,7,5,37
THE GOLDEN COUPLE,Greer Hendricks and Sarah Pekkanen,0.00,St. Martin's,125027320X,by Greer Hendricks and Sarah Pekkanen,2022-03-24,8,0,1
THE LIGHTNING ROD,Brad Meltzer,0.00,Morrow,0062892428,by Brad Meltzer,2022-03-24,9,0,1
ONE ITALIAN SUMMER,Rebecca Serle,0.00,Atria,1982166797,by Rebecca Serle,2022-03-24,10,8,2
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-24,11,10,17
PEOPLE WE MEET ON VACATION,Emily Henry,0.00,Berkley,1984806750,by Emily Henry,2022-03-24,12,0,23
THE MIDNIGHT LIBRARY,Matt Haig,0.00,Viking,0525559477,by Matt Haig,2022-03-24,13,0,57
THE LINCOLN HIGHWAY,Amor Towles,0.00,Viking,0735222371,by Amor Towles,2022-03-24,14,13,23
THE MAID,Nita Prose,0.00,Ballantine,0593356160,by Nita Prose,2022-03-24,15,12,10
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-03-23,1,0,1
SHADOWS REEL,C.J. Box,0.00,Putnam,0593331273,by C.J. Box,2022-03-23,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-23,3,2,39
HIGH STAKES,Danielle Steel,0.00,Delacorte,1984821717,by Danielle Steel,2022-03-23,4,0,1
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-23,5,4,14
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-03-23,6,3,3
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-23,7,5,37
THE GOLDEN COUPLE,Greer Hendricks and Sarah Pekkanen,0.00,St. Martin's,125027320X,by Greer Hendricks and Sarah Pekkanen,2022-03-23,8,0,1
THE LIGHTNING ROD,Brad Meltzer,0.00,Morrow,0062892428,by Brad Meltzer,2022-03-23,9,0,1
ONE ITALIAN SUMMER,Rebecca Serle,0.00,Atria,1982166797,by Rebecca Serle,2022-03-23,10,8,2
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-23,11,10,17
PEOPLE WE MEET ON VACATION,Emily Henry,0.00,Berkley,1984806750,by Emily Henry,2022-03-23,12,0,23
THE MIDNIGHT LIBRARY,Matt Haig,0.00,Viking,0525559477,by Matt Haig,2022-03-23,13,0,57
THE LINCOLN HIGHWAY,Amor Towles,0.00,Viking,0735222371,by Amor Towles,2022-03-23,14,13,23
THE MAID,Nita Prose,0.00,Ballantine,0593356160,by Nita Prose,2022-03-23,15,12,10
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-03-22,1,0,1
SHADOWS REEL,C.J. Box,0.00,Putnam,0593331273,by C.J. Box,2022-03-22,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-22,3,2,39
HIGH STAKES,Danielle Steel,0.00,Delacorte,1984821717,by Danielle Steel,2022-03-22,4,0,1
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-22,5,4,14
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-03-22,6,3,3
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-22,7,5,37
THE GOLDEN COUPLE,Greer Hendricks and Sarah Pekkanen,0.00,St. Martin's,125027320X,by Greer Hendricks and Sarah Pekkanen,2022-03-22,8,0,1
THE LIGHTNING ROD,Brad Meltzer,0.00,Morrow,0062892428,by Brad Meltzer,2022-03-22,9,0,1
ONE ITALIAN SUMMER,Rebecca Serle,0.00,Atria,1982166797,by Rebecca Serle,2022-03-22,10,8,2
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-22,11,10,17
PEOPLE WE MEET ON VACATION,Emily Henry,0.00,Berkley,1984806750,by Emily Henry,2022-03-22,12,0,23
THE MIDNIGHT LIBRARY,Matt Haig,0.00,Viking,0525559477,by Matt Haig,2022-03-22,13,0,57
THE LINCOLN HIGHWAY,Amor Towles,0.00,Viking,0735222371,by Amor Towles,2022-03-22,14,13,23
THE MAID,Nita Prose,0.00,Ballantine,0593356160,by Nita Prose,2022-03-22,15,12,10
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-03-21,1,0,1
SHADOWS REEL,C.J. Box,0.00,Putnam,0593331273,by C.J. Box,2022-03-21,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-21,3,2,39
HIGH STAKES,Danielle Steel,0.00,Delacorte,1984821717,by Danielle Steel,2022-03-21,4,0,1
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-21,5,4,14
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-03-21,6,3,3
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-21,7,5,37
THE GOLDEN COUPLE,Greer Hendricks and Sarah Pekkanen,0.00,St. Martin's,125027320X,by Greer Hendricks and Sarah Pekkanen,2022-03-21,8,0,1
THE LIGHTNING ROD,Brad Meltzer,0.00,Morrow,0062892428,by Brad Meltzer,2022-03-21,9,0,1
ONE ITALIAN SUMMER,Rebecca Serle,0.00,Atria,1982166797,by Rebecca Serle,2022-03-21,10,8,2
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-21,11,10,17
PEOPLE WE MEET ON VACATION,Emily Henry,0.00,Berkley,1984806750,by Emily Henry,2022-03-21,12,0,23
THE MIDNIGHT LIBRARY,Matt Haig,0.00,Viking,0525559477,by Matt Haig,2022-03-21,13,0,57
THE LINCOLN HIGHWAY,Amor Towles,0.00,Viking,0735222371,by Amor Towles,2022-03-21,14,13,23
THE MAID,Nita Prose,0.00,Ballantine,0593356160,by Nita Prose,2022-03-21,15,12,10
"HOOK, LINE, AND SINKER",Tessa Bailey,0.00,Avon,0063045699,by Tessa Bailey,2022-03-20,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-20,2,2,38
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-03-20,3,1,2
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-03-20,4,3,13
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-03-20,5,5,36
PHANTOM GAME,Christine Feehan,0.00,Berkley,0593439090,by Christine Feehan,2022-03-20,6,0,1
HOUSE OF SKY AND BREATH,Sarah J. Maas,0.00,Bloomsbury,1635574072,by Sarah J. Maas,2022-03-20,7,4,3
ONE ITALIAN SUMMER,Rebecca Serle,0.00,Atria,1982166797,by Rebecca Serle,2022-03-20,8,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-03-20,9,14,10
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-03-20,10,7,16
SOOLEY,John Grisham,0.00,Doubleday,0593359534,by John Grisham,2022-03-20,11,0,9
THE MAID,Nita Prose,0.00,Ballantine,0593356152,by Nita Prose,2022-03-20,12,9,9
THE LINCOLN HIGHWAY,Amor Towles,0.00,Viking,0735222355,by Amor Towles,2022-03-20,13,8,22
THE ATLAS SIX,Olivie Blake,0.00,Tor,1250854512,by Olivie Blake,2022-03-20,14,0,1
THE CLUB,Ellery Lloyd,0.00,Harper,0062997424,by Ellery Lloyd,2022-03-20,15,0,1
"HOOK, LINE, AND SINKER",Tessa Bailey,0.00,Avon,0063045699,by Tessa Bailey,2022-03-19,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-03-19,2,2,38
